slug,titulo,entidade,persona,pain_layer,jtbd,schwartz,gerador,h1,h2s,volume,wave,tipo,concorrentes_principais,cta
/blog/family-day-vs-kids-day-diferenca/,Family Day ou Kids Day: qual escolher para seu evento corporativo,Eventos Corporativos Infantis,P9 - Coordenadora RH,Declarada,Entender qual formato pedir ao fornecedor sem parecer desinformada,Problem Aware,Prediction Error,Family Day ou Kids Day: qual faz sentido para o seu evento corporativo?,"O que é Kids Day | O que é Family Day | Diferenças práticas | Qual escolher por tipo de empresa | Como contratar em SP | Solicitar proposta",200,W1,Blog,Kids Eventos SP / Recreação Corporativa Genérica,Solicitar proposta corporativa
/blog/eventos-infantis-para-empresas-sp-guia-completo/,Eventos infantis para empresas em SP: guia completo 2026,Eventos Corporativos Infantis,"P9, P10",Declarada,Mapear as opções disponíveis e fornecedores confiáveis em SP,Problem Aware > Solution Aware,Perturbação,Eventos infantis para empresas em SP: guia completo 2026,"Por que ter recreação no evento corporativo | Tipos de evento (kids day, ativação, corridas) | Critérios para contratar | Protocolo de segurança | Quanto custa | Empresas recomendadas em SP | Falar com especialista",180,W1,Blog,Festas infantis genéricas / Buffets,Falar com especialista
/blog/quanto-custa-recreacao-infantil-para-empresa/,Quanto custa recreação infantil para empresa em SP: tabela 2026,Eventos Corporativos Infantis,P9 - Coordenadora RH,Real,Conseguir orçamento inicial para aprovar internamente antes de contato,Solution Aware,Radical Transparency,Quanto custa recreação infantil para empresa em SP: tabela real 2026,"Fatores que afetam o preço | Tabela por porte do evento | Kids day corporativo (preço) | Ativação de marca (preço) | Corridas e eventos esportivos (preço) | Como apresentar para o gestor | Solicitar orçamento detalhado",150,W1,Blog,Nenhum — gap total no mercado,Solicitar orçamento detalhado
/blog/kids-zone-corrida-de-rua-como-organizar/,Kids zone em corrida de rua: como estruturar do zero,Recreação para Corridas de Rua,P13 - Organizador Corridas,Declarada,Ter guia prático de estrutura e contratação de recreação para evento esportivo,Problem Aware,Perturbação,Kids zone em corrida de rua: como estruturar o espaço infantil do seu evento,"Por que ter kids zone na corrida | Estrutura mínima (espaço, equipe, brinquedos) | Segurança e protocolos | Quanto custa montar kids zone | Erros comuns | Contratar empresa especializada | Orçamento para evento esportivo",90,W1,Blog,Nenhum — vertical descoberto,Orçamento para evento esportivo
/blog/recreacao-infantil-evento-esportivo-sp/,Recreação infantil para eventos esportivos em SP: como funciona,Recreação para Corridas de Rua,P13 - Organizador Corridas,Real,Encontrar fornecedor com case em SP para eventos esportivos com crianças,Solution Aware,Avatar Humano,Recreação infantil para eventos esportivos em SP: como funciona e onde contratar,"Diferença entre recreação de festa e recreação de evento | Desafios específicos (outdoor, grande volume) | Cases em SP | Protocolo Agita para eventos esportivos | Como contratar | Falar com especialista em eventos esportivos",70,W1,Blog,Nenhum — vertical descoberto,Falar com especialista em eventos esportivos
/blog/kids-area-trackfield-morumbi-run-case/,Kids area Trackfield e Morumbi Run: case Agita Morango SP,Recreação para Corridas de Rua,P13 - Organizador Corridas,Oculta,Ver case real antes de contratar para não errar na frente dos organizadores,Solution Aware > Product Aware,Radical Transparency + E-E-A-T,"Kids area em corridas de rua SP: como a Agita Morango atendeu Trackfield e Morumbi Run","O desafio (público corredor com filhos) | A solução implantada | Resultados (número de crianças, feedback) | O que aprendemos | Como replicar no seu evento | Replicar esse modelo no seu evento",40,W1,Blog (Case),Nenhum — case único,Replicar esse modelo no seu evento
/recreacao-infantil-corridas-de-rua-sp/,Recreação Infantil para Corridas de Rua SP: Kids Zone Profissional,Recreação para Corridas de Rua,P13 - Organizador Corridas,Declarada + Real,Contratar empresa especializada em kids zone para corridas,Product Aware,Hub BOFU,Recreação Infantil para Corridas de Rua em SP: Kids Zone Profissional,"O problema dos pais corredores | O que oferecemos (estrutura, equipe, segurança) | Cases (Trackfield, Morumbi Run) | Como funciona (etapas de contratação) | Investimento | Solicitar proposta para corrida",120,W1,LP Hub,Nenhum — vertical descoberto,Solicitar proposta para corrida
/blog/dia-das-criancas-evento-condominio-sp/,Dia das Crianças no condomínio: como organizar evento infantil em SP,Recreação Condomínios e Escolas,P11 - Assessora Condomínio,Declarada,Planejar evento infantil em condomínio sem estresse,Problem Aware,Sazonal + Perturbação,Dia das Crianças no condomínio: como organizar um evento infantil sem stress em SP,"Planejamento com antecedência | Espaços e estrutura | Atividades por faixa etária | Segurança e responsabilidade | Contratar empresa ou montar internamente | Quanto custa | Pedir orçamento para condomínio",140,W1,Blog,Conteúdo genérico de festas,Pedir orçamento para condomínio
/blog/festa-junina-condominio-recreacao-infantil/,Festa junina no condomínio: recreação infantil temática que funciona,Recreação Condomínios e Escolas,P11 - Assessora Condomínio,Declarada,Ter recreação temática de qualidade sem cair em atrações genéricas,Solution Aware,Frame Shift,Festa junina no condomínio: como montar recreação infantil temática de verdade,"O que as crianças realmente querem (não só pipoca) | Atividades temáticas por idade | Equipe de recreadores ou animador? | Estrutura necessária | Cases de condomínio | Contratar Agita | Orçamento festa junina condomínio",200,W1,Blog,Conteúdo genérico de festas juninas,Orçamento festa junina condomínio
/blog/espaco-kids-restaurante-fideliza-familia/,Espaço kids no restaurante: como aumentar ticket médio fidelizando famílias,Kids Corner Espaço Kids Comercial,P14 - Gestor Restaurante,Real,Entender o modelo de negócio antes de decidir se vale o investimento,Problem Aware,Frame Shift,Espaço kids no restaurante: como aumentar o ticket médio fidelizando famílias,"Por que famílias saem cedo de restaurantes | O impacto real de um kids area (dados) | Modelos de kids corner (fixo vs sob demanda) | Recreação presencial: a alternativa sem obra | Como outros restaurantes fizeram | Quanto custa | Solicitar demonstração",80,W2,Blog,Artigos genéricos sobre família em restaurante,Solicitar demonstração
/blog/kids-corner-para-restaurante-como-implementar/,Kids corner para restaurante: como implementar sem reforma,Kids Corner Espaço Kids Comercial,P14 - Gestor Restaurante,Real,Ter solução de kids entertainment sem construir nada permanente,Solution Aware,Prediction Error,Kids corner para restaurante: como implementar sem reforma e sem funcionário fixo,"O modelo de recreação por demanda | O que inclui (equipe, materiais, atividades) | Finais de semana e datas especiais | Quanto custa vs construir espaço próprio | Parceria com Agita Morango | Teste gratuito em um final de semana",60,W2,Blog,Nenhum — solução não documentada no mercado,Teste gratuito em um final de semana
/kids-corner-restaurante-sp/,Kids Corner para Restaurante em SP: Recreação Infantil sob Demanda,Kids Corner Espaço Kids Comercial,P14 - Gestor Restaurante,Declarada + Real,Contratar empresa para kids corner recorrente,Product Aware,Hub BOFU,Kids Corner para Restaurante em SP: Recreação Infantil Profissional sob Demanda,"O problema (família come rápido e vai embora) | Nossa solução (recreador presente + materiais) | Como funciona (recorrência, diárias, eventos) | Cases | Investimento | Montar parceria de recreação recorrente",90,W2,LP,"Concorrência indireta: brinquedotecas, espaços fixos",Montar parceria de recreação recorrente
/blog/branding-experiencial-infantil-como-funciona/,Branding experiencial infantil: neurociência das marcas que crianças amam,Ativação de Marca Experiencial,"P10, P15",Real,Entender a mecânica do branding experiencial com crianças antes de aprovar budget,Problem Aware,Prediction Error,Branding experiencial infantil: a neurociência por trás das marcas que as crianças amam,"O que é branding experiencial com crianças | Por que a memória infantil fideliza a família inteira | Cases internacionais e nacionais | Riscos e como mitigar | Como contratar em SP | Planejar ativação de marca",100,W2,Blog,Marketing genérico / agências de experiência,Planejar ativação de marca
/blog/ativacao-de-marca-inauguracao-loja-com-criancas/,Ativação de marca em inauguração de loja com recreação infantil,Ativação de Marca Experiencial,P15 - Gestor Varejo,Declarada,Contratar recreação profissional para inauguração que retenha família e gere buzz,Solution Aware > Product Aware,Avatar Humano,Ativação de marca em inauguração de loja: como recreação infantil profissional atrai e retém famílias,"Por que inaugurações precisam de estratégia kids | Modelos de ativação (personagens, baladinha, ateliê, escultura) | Como planejar com 30 dias de antecedência | Cases em SP | Quanto custa | Montar ativação de inauguração",80,W2,Blog,Agências de eventos genéricas,Montar ativação de inauguração
