wave,ordem,tier,url_atual,url_nova,url_muda,acao,tipo_pagina,cluster,entidade,keyword_alvo,volume,kd,intent,persona_primaria,pain_layer,schwartz,gerador_prd,status_atual,redirect_destino,titulo_sugerido,prazo_semana,observacoes
TECNICO,1,6,/animadores-de-festa-infantil-em-sao-paulo/,/animacao-infantil-para-festas-em-sp/,SIM,REDIRECT,Redirect,Animacao,Animacao Infantil,animadores para festa infantil,320,baixo,Comercial,,,,,,ORFA,/animacao-infantil-para-festas-em-sp/,,Sem 1,URL orfa pos 54. Transfere equity para LP principal.
TECNICO,2,6,/baladinha-kids-e-dj-em-sao-paulo/,/baladinha-kids-e-dj-infantil-em-sao-paulo/,SIM,REDIRECT,Redirect,Baladinha,DJ Baladinha Kids,baladinha casa de festas infantil,110,baixo,Comercial,,,,,,ORFA,/baladinha-kids-e-dj-infantil-em-sao-paulo/,,Sem 1,URL antiga pos 31. Consolidar equity.
TECNICO,3,6,/aniversarios-e-festas-infantis-em-sao-paulo/,/aniversario-infantil-em-sao-paulo/,SIM,REDIRECT,Redirect,Aniversario,Aniversario Infantil Premium,aniversarios festas infantis sp,110,baixo,Comercial,,,,,,ORFA,/aniversario-infantil-em-sao-paulo/,,Sem 1,URL antiga pos 64. Consolidar equity.
TECNICO,4,6,/kids-day-e-family-day-em-sao-paulo/,/kids-day-e-family-day-corporativo-em-sao-paulo/,SIM,REDIRECT,Redirect,Corporativo,Eventos Corporativos Infantis,kiddies day,320,baixo,Comercial,,,,,,ORFA,/kids-day-e-family-day-corporativo-em-sao-paulo/,,Sem 1,URL antiga pos 92. Transfere equity para LP corporativa.
TECNICO,5,6,/ativacoes-de-marca-experiencias-sensoriais-sp/,/ativacoes-de-marca-com-criancas-em-sao-paulo/,SIM,REDIRECT,Redirect,Corporativo,Eventos Corporativos Infantis,ativacoes para eventos,110,baixo,Comercial,,,,,,ORFA,/ativacoes-de-marca-com-criancas-em-sao-paulo/,,Sem 1,URL alternativa pos 62. Consolidar.
TECNICO,6,6,/magico-para-festa-infantil-em-sao-paulo/,/magico-para-festa-infantil-em-sao-paulo/,NAO,MANTER,LP Servico,Animacao,Animacao Infantil,magico em festa infantil,210,baixo,Comercial,,,,,,ORFA_ATIVA,,Magico para Festa Infantil em Sao Paulo | Agita Morango,Sem 1,ORFA ATIVA pos 22. Adicionar ao sitemap.xml. Nao redirecionar.
W0,1,2,,/animacao-infantil-para-festas-em-sp/,NAO,REWRITE,LP Servico,Animacao,Animacao Infantil,animador de festa infantil,1900,medio,Comercial,P1,Declarada,Solution Aware,Perturbacao + Inoculacao,POSICAO_RUIM,,Animacao Infantil para Festas em SP | Agita Morango,Sem 1,Maior prioridade. Home canibaliza com 7.550v. Remover keywords animador/recreador da Home.
W0,2,2,,/equipe-de-recreadores-infantis-em-sao-paulo/,NAO,REWRITE,LP Servico,Recreacao,Equipe Recreadores,recreador infantil,1000,medio,Comercial,P1,Declarada,Problem Aware,Radical Transparency + Avatar Humano,ZERO_RANKING,,,Sem 1,Zero ranking. Home captura queries de recreador. CPC alto R$2,39.
W0,3,2,,/aniversario-infantil-em-sao-paulo/,NAO,REWRITE,LP Servico,Aniversario,Aniversario Infantil Premium,aniversario infantil sao paulo,720,baixo,Comercial,P1,Declarada,Solution Aware,Frame Shift + Loss Aversion,SEM_KW,,,Sem 2,KD=5 win facil. Verificar indexacao antes. Submeter sitemap.xml no GSC.
W0,4,5,,/blog/animador-de-festa-infantil-o-que-faz/,NAO,CRIAR,Blog,Animacao,Animacao Infantil,animador de festa infantil o que faz,480,baixo,Informacional,P1,Declarada,Problem Aware,Perturbacao,NOVA,,,Sem 1,Blog TOFU. Suporte semantico LP Animacao. Topo de funil P1/P2/P3.
W0,5,5,,/blog/como-contratar-recreacao-infantil/,NAO,CRIAR,Blog,Recreacao,Recreacao Infantil Festas,como contratar recreacao infantil para festa,590,baixo,Informacional,P1,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 2,Ponte TOFU/MOFU. CPC R$3,06. Decision point critico P1+P8.
W0,6,2,,/baladinha-kids-e-dj-infantil-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Baladinha,DJ Baladinha Kids,baladinha kids,880,baixo,Comercial,P1,Declarada,Problem Aware,Frame Shift,PROBLEMA_CRITICO,,,Sem 2,880v sem ranking apesar de ter LP. On-page + linkagem de LP Animacao.
W0,7,4,,/recreacao-corporativa-sp/,NAO,CRIAR,Hub,Corporativo,Eventos Corporativos Infantis,kids day corporativo sp,180,baixo,Comercial,P9,Declarada,Solution Aware,Frame Shift + Loss Aversion,NOVA,,,Sem 3,Hub B2B novo. Agrega kids-day + ativacoes + parcerias. Ticket R$10-30k.
W0,8,5,,/blog/aniversario-infantil-em-casa/,NAO,CRIAR,Blog,Aniversario,Aniversario Infantil Premium,aniversario infantil em casa como organizar,720,baixo,Informacional,P5,Declarada,Solution Aware,Frame Shift,NOVA,,,Sem 3,Alternativa ao buffet. Satisfaz P3 Pragmatica + P5 Apartamento.
W0,9,5,,/blog/quanto-custa-animacao-festa/,NAO,CRIAR,Blog,Animacao,Animacao Infantil,quanto custa animacao de festa infantil sp,250,baixo,Transacional,P8,Declarada,Problem Aware,Radical Transparency,NOVA,,,Sem 3,Transparencia de preco. Zero cobertura concorrentes.
W0,10,2,/cases-e-clientes-de-evento-infantil/,/cases-e-clientes-de-evento-infantil/,NAO,REWRITE,Entity,E-E-A-T,Recreacao Infantil Festas,empresa recreacao infantil referencias,0,baixo,Comercial,P1,Oculta,Most Aware,Avatar Humano + Radical Transparency,SEM_KW,,,Sem 2,E-E-A-T crucial. Storytelling com Itau/D&G/Vivo. 620 reviews. 12k familias.
W0,11,1,/sobre-a-agita-morango/,/sobre-a-agita-morango/,NAO,UPDATE,Institucional,Brand,Afetiva Methodology,agita morango 15 anos recreacao,0,baixo,Brand,P1,Real,Most Aware,Avatar Humano,BRAND,,,Sem 1,Atualizar: 15 anos + Afetiva Methodology + clientes premium. Boost E-E-A-T.
W1,12,2,/empresa-de-recreacao-em-sao-paulo/,/empresa-de-recreacao-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Recreacao,Recreacao Infantil Festas,empresa de recreacao infantil sp,110,baixo,Comercial,P1,Declarada,Solution Aware,Perturbacao,CANIBAL,,,Sem 4,Hub B2C. Home captura essa keyword pos 16. Diferenciar e criar linkagem.
W1,13,4,/kids-day-e-family-day-corporativo-em-sao-paulo/,/kids-day-e-family-day-corporativo-em-sao-paulo/,NAO,REWRITE,Hub,Corporativo,Eventos Corporativos Infantis,kids day corporativo sao paulo,180,baixo,Comercial,P9,Declarada,Product Aware,Frame Shift,SEM_KW,,,Sem 4,Recebe redirect da URL orfa /kids-day-e-family-day-em-sao-paulo/.
W1,14,4,/ativacoes-de-marca-com-criancas-em-sao-paulo/,/ativacoes-de-marca-com-criancas-em-sao-paulo/,NAO,REWRITE,LP Corporativa,Corporativo,Eventos Corporativos Infantis,ativacoes de marca com criancas sp,110,baixo,Comercial,P10,Declarada,Product Aware,Prediction Error,SEM_KW,,,Sem 4,Recebe redirect da URL orfa pos 62.
W1,15,5,,/blog/brincadeiras-dirigidas-educacao/,NAO,CRIAR,Blog,Educacional,Recreacao Infantil Festas,brincadeiras dirigidas para educacao infantil,320,baixo,Informacional,P9,Declarada,Unaware,Perturbacao,NOVA,,,Sem 4,Blog educacional. Captura P9/P10 educadores. Topo de funil amplo.
W1,16,5,,/blog/diferenca-animador-recreador/,NAO,CRIAR,Blog,Semantico,Animacao Infantil,diferenca entre animador e recreador de festas,300,baixo,Informacional,P1,Declarada,Problem Aware,Prediction Error,NOVA,,,Sem 4,SEO semantico. Fortalece autoridade topical dos dois clusters.
W1,17,5,,/blog/kids-day-corporativo-organizar/,NAO,CRIAR,Blog,Corporativo,Eventos Corporativos Infantis,kids day corporativo como organizar,180,baixo,Informacional,P9,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 5,TOFU B2B. Suporte ao hub /recreacao-corporativa-sp/.
W1,18,5,,/blog/recreacao-infantil-guarulhos/,NAO,CRIAR,Blog,Cidade,LPs Cidade,recreacao infantil em guarulhos como escolher,200,baixo,Informacional,P12,Declarada,Solution Aware,Frame Shift,NOVA,,,Sem 5,Suporte para LP /recreacao-para-festa-infantil-guarulhos/ (W2).
W1,19,2,/show-musical-infantil-em-sao-paulo/,/show-musical-infantil-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Animacao,Animacao Infantil,show musical infantil sp,210,medio,Comercial,P1,Declarada,Solution Aware,Frame Shift,POSICAO_RUIM,,,Sem 6,Pos 23. On-page + linkagem de LP Animacao.
W1,20,2,/personagens-para-festas-infantis-em-sao-paulo/,/personagens-para-festas-infantis-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Animacao,Animacao Infantil,personagens de festa infantil,90,medio,Comercial,P1,Declarada,Solution Aware,Avatar Humano,POSICAO_RUIM,,,Sem 6,Pos 18. On-page + linkagem de LP Animacao.
W1,21,2,/festas-tematicas-em-sao-paulo/,/festas-tematicas-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Aniversario,Aniversario Infantil Premium,festas tematicas infantis sp,210,medio,Comercial,P1,Declarada,Solution Aware,Frame Shift,POSICAO_RUIM,,,Sem 7,Pos 37. On-page + linkagem de LP Aniversario.
W2,22,3,,/recreacao-para-festa-infantil-guarulhos/,NAO,CRIAR,LP Geo,Cidade,LPs Cidade,recreacao festa infantil guarulhos,200,baixo,Comercial,P12,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 8,Maior mercado fora SP capital. Tiogirafa ja tem LP aqui.
W2,23,3,,/recreacao-para-festa-infantil-abc/,NAO,CRIAR,LP Geo,Cidade,LPs Cidade,recreacao festa infantil abc paulista,150,baixo,Comercial,P12,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 8,Santo Andre + Sao Bernardo + Sao Caetano.
W2,24,3,,/animacao-infantil-zona-leste-sp/,NAO,CRIAR,LP Geo,Cidade,LPs Cidade,animacao infantil zona leste sp,120,baixo,Comercial,P12,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 9,Itaquera / Penha / Mooca.
W2,25,3,,/recreacao-para-festa-infantil-barueri/,NAO,CRIAR,LP Geo,Cidade,LPs Cidade,recreacao festa infantil barueri,100,baixo,Comercial,P12,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 9,Cluster Barueri / Alphaville.
W2,26,3,,/recreacao-para-festa-infantil-alphaville/,NAO,CRIAR,LP Geo,Cidade,LPs Cidade,recreacao festa infantil alphaville,80,baixo,Comercial,P12,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 9,Publico premium. Diferenciacao por metodologia e ticket.
W2,27,5,,/blog/natal-infantil-para-festas/,NAO,CRIAR,Blog,Sazonal,Animacao Infantil,natal infantil para festas e eventos sp,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 10,Sazonal Dez/Jan. Suporte LP /natal-infantil-para-festas-e-eventos-em-sao-paulo/.
W2,28,5,,/blog/halloween-festa-infantil/,NAO,CRIAR,Blog,Sazonal,Animacao Infantil,halloween para festa infantil sp,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 10,Sazonal Out/Nov. Suporte LP /halloween-para-festas-e-eventos-em-sao-paulo/.
W2,29,5,,/blog/carnaval-infantil-em-sp/,NAO,CRIAR,Blog,Sazonal,Animacao Infantil,carnaval infantil em sao paulo,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 10,Sazonal Fev/Mar. Suporte LP /carnaval-infantil-em-sao-paulo/.
W2,30,5,,/blog/pascoa-festa-infantil/,NAO,CRIAR,Blog,Sazonal,Aniversario Infantil Premium,pascoa para festa infantil,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 11,Sazonal Mar/Abr. Suporte LP /pascoa-para-festas-e-eventos-em-sao-paulo/.
W2,31,5,,/blog/reunion-infantil-planejamento/,NAO,CRIAR,Blog,Sazonal,Aniversario Infantil Premium,reveillon infantil como organizar,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 11,Sazonal Dez/Jan. Suporte LP /festa-de-ano-novo-infantil-em-sao-paulo/.
W3,32,2,/colonia-de-ferias-infantil-sp/,/colonia-de-ferias-infantil-sp/,NAO,OTIMIZAR,LP Servico,Ferias,Colonia Ferias,colonia de ferias infantil sp,320,baixo,Comercial,P1,Declarada,Solution Aware,Perturbacao,OK,,,Sem 12,Melhor pagina do site pos 13. Otimizar para pos 1-5. Adicionar schema Event.
W3,33,2,/oficinas-criativas-infantis-em-sp/,/oficinas-criativas-infantis-em-sp/,NAO,OTIMIZAR,LP Servico,Recreacao,Recreacao Infantil Festas,oficinas criativas para criancas sp,590,medio,Comercial,P1,Declarada,Solution Aware,Frame Shift,OK_PARCIAL,,,Sem 12,2a melhor pagina. 10+ keywords rastreadas. Pos 20. Otimizar on-page.
W3,34,2,/espaco-baby-para-festa-sp/,/espaco-baby-para-festa-sp/,NAO,OTIMIZAR,LP Servico,Aniversario,Espaco Baby,espaco baby para festa infantil,480,baixo,Comercial,P1,Declarada,Solution Aware,Avatar Humano,OK_PARCIAL,,,Sem 12,Pos 12. Linkagem de LP Aniversario Premium.
W3,35,2,/camarim-infantil-para-festas-em-sao-paulo/,/camarim-infantil-para-festas-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Animacao,Animacao Infantil,camarim infantil festa,110,baixo,Comercial,P1,Declarada,Product Aware,Avatar Humano,OK,,,Sem 12,Pos 6. Otimizacao minima. Garantir linkagem interna.
W3,36,2,/aluguel-de-brinquedos-infantis-sp/,/aluguel-de-brinquedos-infantis-sp/,NAO,RESOLVER,LP Servico,Recreacao,Recreacao Infantil Festas,aluguel de brinquedos para festa,210,medio,Comercial,P1,Declarada,Solution Aware,Frame Shift,CANIBAL,,,Sem 12,CANIBAL COMPETIDOR: rankeia para Los Chicos/Tonton. Noindex ou reescrever com KW propria.
W3,37,5,,/blog/lugares-levar-crianca-sp/,NAO,CRIAR,Blog,Topo Funil,Recreacao Infantil Festas,lugares para levar criancas em sao paulo,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 12,TOFU amplo. Long tail. Linkagem para todas as LPs de servico.
W3,38,5,,/blog/diversao-crianca-fim-semana/,NAO,CRIAR,Blog,Topo Funil,Recreacao Infantil Festas,o que fazer com criancas no fim de semana sp,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 12,TOFU. Linkagem para Colonia Ferias + Oficinas.
W3,39,5,,/blog/atividades-criancas-sao-paulo/,NAO,CRIAR,Blog,Topo Funil,Recreacao Infantil Festas,atividades para criancas em sao paulo,0,baixo,Informacional,P1,Declarada,Unaware,Perturbacao,NOVA,,,Sem 12,TOFU amplo. Brand awareness. Linkagem para cluster Recreacao.
SAZONAIS,40,2,/carnaval-infantil-em-sao-paulo/,/carnaval-infantil-em-sao-paulo/,NAO,OTIMIZAR,LP Sazonal,Sazonal,Animacao Infantil,carnaval infantil sp,0,baixo,Comercial,P1,Declarada,Unaware,Perturbacao,SEM_KW,,,W2 paralelo,LP sazonal existente. Otimizar em paralelo com blog /blog/carnaval-infantil-em-sp/.
SAZONAIS,41,2,/halloween-para-festas-e-eventos-em-sao-paulo/,/halloween-para-festas-e-eventos-em-sao-paulo/,NAO,OTIMIZAR,LP Sazonal,Sazonal,Animacao Infantil,halloween festa infantil sp,0,baixo,Comercial,P1,Declarada,Unaware,Perturbacao,SEM_KW,,,W2 paralelo,LP sazonal existente. Otimizar em paralelo com blog /blog/halloween-festa-infantil/.
SAZONAIS,42,2,/natal-infantil-para-festas-e-eventos-em-sao-paulo/,/natal-infantil-para-festas-e-eventos-em-sao-paulo/,NAO,OTIMIZAR,LP Sazonal,Sazonal,Animacao Infantil,natal infantil sp,0,baixo,Comercial,P1,Declarada,Unaware,Perturbacao,SEM_KW,,,W2 paralelo,LP sazonal existente. Otimizar em paralelo com blog /blog/natal-infantil-para-festas/.
SAZONAIS,43,2,/pascoa-para-festas-e-eventos-em-sao-paulo/,/pascoa-para-festas-e-eventos-em-sao-paulo/,NAO,OTIMIZAR,LP Sazonal,Sazonal,Aniversario Infantil Premium,pascoa festa infantil sp,0,baixo,Comercial,P1,Declarada,Unaware,Perturbacao,SEM_KW,,,W2 paralelo,LP sazonal existente. Otimizar em paralelo com blog /blog/pascoa-festa-infantil/.
SAZONAIS,44,2,/festa-de-ano-novo-infantil-em-sao-paulo/,/festa-de-ano-novo-infantil-em-sao-paulo/,NAO,OTIMIZAR,LP Sazonal,Sazonal,Aniversario Infantil Premium,reveillon infantil sp,0,baixo,Comercial,P1,Declarada,Unaware,Perturbacao,SEM_KW,,,W2 paralelo,LP sazonal existente. Otimizar em paralelo com blog /blog/reunion-infantil-planejamento/.
SAZONAIS,45,2,/dia-das-criancas-em-sao-paulo/,/dia-das-criancas-em-sao-paulo/,NAO,OTIMIZAR,LP Sazonal,Sazonal,Recreacao Infantil Festas,dia das criancas sp,400,baixo,Comercial,P1,Declarada,Problem Aware,Perturbacao,POSICAO_RUIM,,,W2 paralelo,Pos 83. Volume real. Reescrever com foco transacional.
SAZONAIS,46,2,/festa-junina-infantil-em-sao-paulo/,/festa-junina-infantil-em-sao-paulo/,NAO,OTIMIZAR,LP Sazonal,Sazonal,Animacao Infantil,festa junina infantil sp,0,baixo,Comercial,P1,Declarada,Unaware,Perturbacao,POSICAO_RUIM,,,W2 paralelo,Rankeia para KW irrelevante (noiva quadrilha). Reescrever com KW certa.
LP_MENORES,47,2,/festa-das-cores-em-sao-paulo/,/festa-das-cores-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Recreacao,Recreacao Infantil Festas,festa das cores sp,320,baixo,Comercial,P1,Declarada,Solution Aware,Frame Shift,POSICAO_RUIM,,,W3 ou posterior,Pos 32. KW informacional rankeia. Adicionar conteudo transacional.
LP_MENORES,48,2,/festa-do-pijama-em-sao-paulo/,/festa-do-pijama-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Recreacao,Recreacao Infantil Festas,festa do pijama sp,490,baixo,Comercial,P1,Declarada,Solution Aware,Frame Shift,POSICAO_RUIM,,,W3 ou posterior,Pos 88. 490v. Otimizar para conversao.
LP_MENORES,49,2,/show-de-magica-infantil-em-sao-paulo/,/show-de-magica-infantil-em-sao-paulo/,NAO,MANTER,LP Servico,Animacao,Animacao Infantil,show de magica infantil sp,90,baixo,Comercial,,,,,,POSICAO_RUIM,,,W3 ou posterior,LP orfa /magico-para-festa-infantil-em-sao-paulo/ ranqueia melhor (pos 22). Decidir qual manter.
LP_MENORES,50,2,/esculturas-de-balao-para-festas-em-sao-paulo/,/esculturas-de-balao-para-festas-em-sao-paulo/,NAO,MANTER,LP Servico,Recreacao,Recreacao Infantil Festas,escultura de balao sp,0,baixo,Comercial,,,,,,SEM_KW,,,—,Sem dados. Manter indexada. Sem acao por ora.
LP_MENORES,51,2,/bolha-de-sabao-gigante-em-sao-paulo/,/bolha-de-sabao-gigante-em-sao-paulo/,NAO,MANTER,LP Servico,Recreacao,Recreacao Infantil Festas,bolha de sabao gigante sp,0,baixo,Comercial,,,,,,SEM_KW,,,—,Sem dados. Manter indexada. Sem acao por ora.
LP_MENORES,52,2,/atelie-infantil-em-sao-paulo/,/atelie-infantil-em-sao-paulo/,NAO,MANTER,LP Servico,Recreacao,Recreacao Infantil Festas,atelie infantil sp,0,baixo,Comercial,,,,,,SEM_KW,,,—,Sem dados. Manter indexada. Sem acao por ora.
LP_MENORES,53,2,/pintura-artistica-infantil-para-festas/,/pintura-artistica-infantil-para-festas/,NAO,MANTER,LP Servico,Recreacao,Recreacao Infantil Festas,pintura artistica festas infantis,0,baixo,Comercial,,,,,,SEM_KW,,,—,Sem dados. Manter indexada. Sem acao por ora.
LP_MENORES,54,2,/personalizados-para-festa-infantil-sp/,/personalizados-para-festa-infantil-sp/,NAO,MANTER,LP Servico,Aniversario,Aniversario Infantil Premium,personalizados festa infantil sp,0,baixo,Comercial,,,,,,SEM_KW,,,—,Sem dados. Manter indexada. Sem acao por ora.
LP_MENORES,55,2,/mesas-e-cadeiras-infantis-em-sao-paulo/,/mesas-e-cadeiras-infantis-em-sao-paulo/,NAO,MANTER,LP Servico,Recreacao,Recreacao Infantil Festas,mesas cadeiras infantis sp,0,baixo,Comercial,,,,,,SEM_KW,,,—,Sem dados. Manter indexada. Sem acao por ora.
B2B,56,4,/eventos-infantis-corporativos-em-sao-paulo/,/recreacao-corporativa-sp/,SIM,REDIRECT,Redirect,Corporativo,Eventos Corporativos Infantis,eventos infantis corporativos sp,0,baixo,Comercial,,,,,,SEM_KW,/recreacao-corporativa-sp/,,Sem 3,Consolidar no hub /recreacao-corporativa-sp/. Canibaliza com /eventos-infantis-para-empresas/.
B2B,57,4,/eventos-infantis-para-empresas-em-sao-paulo/,/eventos-infantis-para-empresas-em-sao-paulo/,NAO,NOINDEX,LP Corporativa,Corporativo,Eventos Corporativos Infantis,eventos infantis para empresas,0,baixo,Comercial,,,,,,SEM_KW,,,Sem 3,Canibaliza /eventos-infantis-corporativos-em-sao-paulo/. Noindex ou redirect para hub.
B2B,58,4,/parcerias-e-operacoes-terceirizadas-em-sp/,/parcerias-e-operacoes-terceirizadas-em-sp/,NAO,OTIMIZAR,LP Corporativa,Corporativo,Eventos Corporativos Infantis,terceirizacao recreacao infantil sp,0,baixo,Comercial,P11,Declarada,Solution Aware,Radical Transparency,SEM_KW,,,W1 ou W2,Oportunidade B2B unica. Terceirizacao de recreacao para buffets e escolas.
HOME_RH,59,1,/,/,NAO,UPDATE,Institucional,Brand,Recreacao Infantil Festas,agita morango recreacao infantil sp,7550,alto,Brand,P1,Declarada,Most Aware,Avatar Humano,CANIBAL,,,Sem 1,Remover keywords animador/recreador/monitor da Home. Deixar brand + recreacao generica. Canonical apontando para LPs.
HOME_RH,60,1,/trabalhe-conosco-recreador-infantil/,/trabalhe-conosco-recreador-infantil/,NAO,UPDATE,Institucional,Brand,Recreacao Infantil Festas,trabalhe conosco recreador sp,390,baixo,Navegacional,,,,,,CANIBAL,,,Sem 2,Canibal invertido: rankeia 'recreadora' (intent emprego vs servico). Separar intent no conteudo.
HOME_RH,61,5,/blog-de-festa-infantil/,/blog-de-festa-infantil/,NAO,VERIFICAR,Blog,Brand,Recreacao Infantil Festas,,0,baixo,Informacional,,,,,,ORFA,,,Sem 1,URL fantasma. Verificar se existe. Se nao existir: criar estrutura /blog/ com hub de artigos.
LEGAL,62,1,/orcamento-de-entretenimento/,/orcamento-de-entretenimento/,NAO,MANTER,Institucional,Brand,Recreacao Infantil Festas,orcamento recreacao infantil,0,baixo,Brand,,,,,,SEM_KW,,,—,Pagina de conversao. Sem SEO. Otimizar apenas UX e CTA.
LEGAL,63,1,/politica-de-cookies-br/,/politica-de-cookies-br/,NAO,MANTER,Legal,Legal,,,0,baixo,Navegacional,,,,,,LEGAL,,,—,Legal. Sem acao SEO.
LEGAL,64,1,/politica-de-privacidade/,/politica-de-privacidade/,NAO,MANTER,Legal,Legal,,,0,baixo,Navegacional,,,,,,LEGAL,,,—,Legal. Sem acao SEO.
